kloc,reliability,complexity,team_size,schedule,effort
102.85250331535109,0.75,1.15,8.0,1.0,772.3245177439912
190.14227556886112,1.15,0.85,10.0,1.0,327.29261687192883
29.687762931207114,1.15,1.0,4.0,0.91,243.23506197352967
189.78123998031154,1.15,1.15,7.0,0.91,679.1287128006464
63.054458950086605,1.15,1.0,13.0,0.91,108.32366268722907
85.24196334554256,0.75,1.15,13.0,0.91,589.5364642482257
165.7128161702679,1.0,1.15,6.0,1.0,158.38154662671997
82.43062813746309,1.15,1.15,10.0,0.91,320.06850304994015
110.36914384693884,1.0,1.0,3.0,0.91,193.20090398508938
6.484263535370605,0.75,1.15,12.0,0.91,674.5701142269857
150.94910862628652,1.0,0.85,5.0,1.1,318.15889603249076
108.09051933063637,0.75,1.0,6.0,0.91,780.0073221770085
66.61661158331934,0.75,0.85,14.0,1.1,503.95657268793434
157.89731198225246,1.15,0.85,9.0,1.0,557.962039415303
61.33577102903735,1.15,1.15,13.0,0.91,422.00484648460986
91.24608000664965,1.15,1.15,4.0,1.1,254.084877269717
27.674297752185787,1.15,1.15,11.0,1.1,322.4895726314187
81.21948430297871,1.15,0.85,14.0,1.1,753.3380082529023
41.48759289455377,0.75,1.15,3.0,0.91,168.95052857248493
53.20035474792805,1.0,1.15,5.0,1.1,790.6929319639677
150.32256985338046,1.0,0.85,3.0,1.1,609.0616309830166
56.801342839221945,0.75,0.85,5.0,1.1,294.2316719291621
97.55300391189537,1.15,1.15,6.0,1.1,516.7957357094267
196.1667027604465,0.75,1.15,2.0,1.0,310.9754160415392
192.36978153909357,1.15,1.0,13.0,1.0,311.3794167855368
145.2331982139332,1.0,0.85,5.0,1.1,408.0043306536784
108.7041442539394,0.75,0.85,13.0,1.1,23.211029091947896
56.101349605028794,1.15,1.0,11.0,1.1,399.921532355283
32.969749746250244,1.0,1.15,4.0,1.0,777.5627466230416
194.01515723001037,1.15,0.85,11.0,1.0,235.517530740607
103.69764852402787,1.15,0.85,12.0,1.0,601.0921876705236
24.057256881683294,0.75,1.15,3.0,0.91,359.80322315569106
125.07446135196258,1.0,1.15,3.0,0.91,175.3320236680505
155.5599397541173,0.75,0.85,6.0,1.0,724.9520309463223
122.98765690955506,1.15,1.0,2.0,1.0,23.293554897368267
183.54224325338964,1.0,1.0,7.0,0.91,249.77205201361343
8.878982456176368,1.15,1.0,8.0,0.91,799.2304470359106
106.18926338874431,1.15,0.85,10.0,0.91,217.0959689900917
92.40784069419534,1.15,1.0,9.0,1.1,680.745172268825
13.407566250825244,1.15,0.85,7.0,1.0,488.4896874380064
128.62430565873564,1.15,1.0,4.0,0.91,646.7682089464276
170.6739348576507,0.75,1.0,9.0,1.1,507.9510268003478
118.99526260275252,0.75,1.0,7.0,1.1,296.53051707570023
52.75939209970742,1.0,0.85,12.0,0.91,611.0231398209512
168.13642268525035,1.0,1.0,11.0,1.1,30.92279363413815
102.38968042278037,1.15,1.0,11.0,1.1,362.982231870217
102.66688800884008,1.15,1.15,9.0,1.1,303.76511019738376
150.8530113327334,1.0,1.0,6.0,1.0,386.88846445350606
30.436485121206353,1.0,0.85,5.0,1.1,110.82034233189499
164.10571710473613,1.0,1.15,7.0,0.91,185.78042409755523
